,movie,year,imdb,metascore,votes,n_imdb
0,Fight Club,1999,8.8,66,1637845,88.0
1,The Matrix,1999,8.7,73,1469235,87.0
2,The Green Mile,1999,8.5,61,984611,85.0
3,American Beauty,1999,8.4,86,972401,84.0
4,The Sixth Sense,1999,8.1,64,829214,81.0
5,Star Wars: Episode I - The Phantom Menace,1999,6.5,51,640660,65.0
6,Toy Story 2,1999,7.9,88,457713,79.0
7,The Mummy,1999,7.0,48,361179,70.0
8,American Pie,1999,7.0,58,347217,70.0
9,Sleepy Hollow,1999,7.4,65,301658,74.0
10,Being John Malkovich,1999,7.8,90,285177,78.0
11,Eyes Wide Shut,1999,7.4,68,267429,74.0
12,Magnolia,1999,8.0,77,266601,80.0
13,10 Things I Hate About You,1999,7.3,70,263771,73.0
14,Notting Hill,1999,7.1,66,239699,71.0
15,Office Space,1999,7.8,68,223410,78.0
16,The Boondock Saints,1999,7.8,44,214998,78.0
17,The Blair Witch Project,1999,6.4,81,213704,64.0
18,Austin Powers: The Spy Who Shagged Me,1999,6.6,59,200898,66.0
19,Dogma,1999,7.3,62,196355,73.0
20,Big Daddy,1999,6.4,41,182201,64.0
21,"South Park: Bigger, Longer & Uncut",1999,7.8,73,179759,78.0
22,Tarzan,1999,7.3,79,176791,73.0
23,The World Is Not Enough,1999,6.4,57,173661,64.0
24,Cruel Intentions,1999,6.8,56,165842,68.0
25,The Talented Mr. Ripley,1999,7.4,76,158802,74.0
26,The Iron Giant,1999,8.0,85,153798,80.0
27,The Ninth Gate,1999,6.7,44,152073,67.0
28,Three Kings,1999,7.1,82,151109,71.0
29,The Insider,1999,7.9,84,147833,79.0
30,"Girl, Interrupted",1999,7.4,51,144559,74.0
31,Wild Wild West,1999,4.9,38,142825,49.0
32,The Bone Collector,1999,6.7,45,139181,67.0
33,Galaxy Quest,1999,7.3,70,136410,73.0
34,Analyze This,1999,6.7,61,136390,67.0
35,The Virgin Suicides,1999,7.2,76,132424,72.0
36,Payback,1999,7.1,46,123375,71.0
37,Man on the Moon,1999,7.4,58,115125,74.0
38,8MM,1999,6.5,19,114523,65.0
39,Deep Blue Sea,1999,5.8,54,113820,58.0
40,Stuart Little,1999,5.9,61,112301,59.0
41,The 13th Warrior,1999,6.6,42,109603,66.0
42,Any Given Sunday,1999,6.9,52,105556,69.0
43,Bicentennial Man,1999,6.9,42,100697,69.0
44,Entrapment,1999,6.3,54,99047,63.0
45,End of Days,1999,5.7,33,98794,57.0
46,The Cider House Rules,1999,7.4,75,87183,74.0
47,Fight Club,1999,8.8,66,1637845,88.0
48,The Matrix,1999,8.7,73,1469235,87.0
49,The Green Mile,1999,8.5,61,984611,85.0
50,American Beauty,1999,8.4,86,972401,84.0
51,The Sixth Sense,1999,8.1,64,829214,81.0
52,Star Wars: Episode I - The Phantom Menace,1999,6.5,51,640660,65.0
53,Toy Story 2,1999,7.9,88,457713,79.0
54,The Mummy,1999,7.0,48,361179,70.0
55,American Pie,1999,7.0,58,347217,70.0
56,Sleepy Hollow,1999,7.4,65,301658,74.0
57,Being John Malkovich,1999,7.8,90,285177,78.0
58,Eyes Wide Shut,1999,7.4,68,267429,74.0
59,Magnolia,1999,8.0,77,266601,80.0
60,10 Things I Hate About You,1999,7.3,70,263771,73.0
61,Notting Hill,1999,7.1,66,239699,71.0
62,Office Space,1999,7.8,68,223410,78.0
63,The Boondock Saints,1999,7.8,44,214998,78.0
64,The Blair Witch Project,1999,6.4,81,213704,64.0
65,Austin Powers: The Spy Who Shagged Me,1999,6.6,59,200898,66.0
66,Dogma,1999,7.3,62,196355,73.0
67,Big Daddy,1999,6.4,41,182201,64.0
68,"South Park: Bigger, Longer & Uncut",1999,7.8,73,179759,78.0
69,Tarzan,1999,7.3,79,176791,73.0
70,The World Is Not Enough,1999,6.4,57,173661,64.0
71,Cruel Intentions,1999,6.8,56,165842,68.0
72,The Talented Mr. Ripley,1999,7.4,76,158802,74.0
73,The Iron Giant,1999,8.0,85,153798,80.0
74,The Ninth Gate,1999,6.7,44,152073,67.0
75,Three Kings,1999,7.1,82,151109,71.0
76,The Insider,1999,7.9,84,147833,79.0
77,"Girl, Interrupted",1999,7.4,51,144559,74.0
78,Wild Wild West,1999,4.9,38,142825,49.0
79,The Bone Collector,1999,6.7,45,139181,67.0
80,Galaxy Quest,1999,7.3,70,136410,73.0
81,Analyze This,1999,6.7,61,136390,67.0
82,The Virgin Suicides,1999,7.2,76,132424,72.0
83,Payback,1999,7.1,46,123375,71.0
84,Man on the Moon,1999,7.4,58,115125,74.0
85,8MM,1999,6.5,19,114523,65.0
86,Deep Blue Sea,1999,5.8,54,113820,58.0
87,Stuart Little,1999,5.9,61,112301,59.0
88,The 13th Warrior,1999,6.6,42,109603,66.0
89,Any Given Sunday,1999,6.9,52,105556,69.0
90,Bicentennial Man,1999,6.9,42,100697,69.0
91,Entrapment,1999,6.3,54,99047,63.0
92,End of Days,1999,5.7,33,98794,57.0
93,The Cider House Rules,1999,7.4,75,87183,74.0
94,Fight Club,1999,8.8,66,1637845,88.0
95,The Matrix,1999,8.7,73,1469235,87.0
96,The Green Mile,1999,8.5,61,984611,85.0
97,American Beauty,1999,8.4,86,972401,84.0
98,The Sixth Sense,1999,8.1,64,829214,81.0
99,Star Wars: Episode I - The Phantom Menace,1999,6.5,51,640660,65.0
100,Toy Story 2,1999,7.9,88,457713,79.0
101,The Mummy,1999,7.0,48,361179,70.0
102,American Pie,1999,7.0,58,347217,70.0
103,Sleepy Hollow,1999,7.4,65,301658,74.0
104,Being John Malkovich,1999,7.8,90,285177,78.0
105,Eyes Wide Shut,1999,7.4,68,267429,74.0
106,Magnolia,1999,8.0,77,266601,80.0
107,10 Things I Hate About You,1999,7.3,70,263771,73.0
108,Notting Hill,1999,7.1,66,239699,71.0
109,Office Space,1999,7.8,68,223410,78.0
110,The Boondock Saints,1999,7.8,44,214998,78.0
111,The Blair Witch Project,1999,6.4,81,213704,64.0
112,Austin Powers: The Spy Who Shagged Me,1999,6.6,59,200898,66.0
113,Dogma,1999,7.3,62,196355,73.0
114,Big Daddy,1999,6.4,41,182201,64.0
115,"South Park: Bigger, Longer & Uncut",1999,7.8,73,179759,78.0
116,Tarzan,1999,7.3,79,176791,73.0
117,The World Is Not Enough,1999,6.4,57,173661,64.0
118,Cruel Intentions,1999,6.8,56,165842,68.0
119,The Talented Mr. Ripley,1999,7.4,76,158802,74.0
120,The Iron Giant,1999,8.0,85,153798,80.0
121,The Ninth Gate,1999,6.7,44,152073,67.0
122,Three Kings,1999,7.1,82,151109,71.0
123,The Insider,1999,7.9,84,147833,79.0
124,"Girl, Interrupted",1999,7.4,51,144559,74.0
125,Wild Wild West,1999,4.9,38,142825,49.0
126,The Bone Collector,1999,6.7,45,139181,67.0
127,Galaxy Quest,1999,7.3,70,136410,73.0
128,Analyze This,1999,6.7,61,136390,67.0
129,The Virgin Suicides,1999,7.2,76,132424,72.0
130,Payback,1999,7.1,46,123375,71.0
131,Man on the Moon,1999,7.4,58,115125,74.0
132,8MM,1999,6.5,19,114523,65.0
133,Deep Blue Sea,1999,5.8,54,113820,58.0
134,Stuart Little,1999,5.9,61,112301,59.0
135,The 13th Warrior,1999,6.6,42,109603,66.0
136,Any Given Sunday,1999,6.9,52,105556,69.0
137,Bicentennial Man,1999,6.9,42,100697,69.0
138,Entrapment,1999,6.3,54,99047,63.0
139,End of Days,1999,5.7,33,98794,57.0
140,The Cider House Rules,1999,7.4,75,87183,74.0
141,Fight Club,1999,8.8,66,1637845,88.0
142,The Matrix,1999,8.7,73,1469235,87.0
143,The Green Mile,1999,8.5,61,984611,85.0
144,American Beauty,1999,8.4,86,972401,84.0
145,The Sixth Sense,1999,8.1,64,829214,81.0
146,Star Wars: Episode I - The Phantom Menace,1999,6.5,51,640660,65.0
147,Toy Story 2,1999,7.9,88,457713,79.0
148,The Mummy,1999,7.0,48,361179,70.0
149,American Pie,1999,7.0,58,347217,70.0
150,Sleepy Hollow,1999,7.4,65,301658,74.0
151,Being John Malkovich,1999,7.8,90,285177,78.0
152,Eyes Wide Shut,1999,7.4,68,267429,74.0
153,Magnolia,1999,8.0,77,266601,80.0
154,10 Things I Hate About You,1999,7.3,70,263771,73.0
155,Notting Hill,1999,7.1,66,239699,71.0
156,Office Space,1999,7.8,68,223410,78.0
157,The Boondock Saints,1999,7.8,44,214998,78.0
158,The Blair Witch Project,1999,6.4,81,213704,64.0
159,Austin Powers: The Spy Who Shagged Me,1999,6.6,59,200898,66.0
160,Dogma,1999,7.3,62,196355,73.0
161,Big Daddy,1999,6.4,41,182201,64.0
162,"South Park: Bigger, Longer & Uncut",1999,7.8,73,179759,78.0
163,Tarzan,1999,7.3,79,176791,73.0
164,The World Is Not Enough,1999,6.4,57,173661,64.0
165,Cruel Intentions,1999,6.8,56,165842,68.0
166,The Talented Mr. Ripley,1999,7.4,76,158802,74.0
167,The Iron Giant,1999,8.0,85,153798,80.0
168,The Ninth Gate,1999,6.7,44,152073,67.0
169,Three Kings,1999,7.1,82,151109,71.0
170,The Insider,1999,7.9,84,147833,79.0
171,"Girl, Interrupted",1999,7.4,51,144559,74.0
172,Wild Wild West,1999,4.9,38,142825,49.0
173,The Bone Collector,1999,6.7,45,139181,67.0
174,Galaxy Quest,1999,7.3,70,136410,73.0
175,Analyze This,1999,6.7,61,136390,67.0
176,The Virgin Suicides,1999,7.2,76,132424,72.0
177,Payback,1999,7.1,46,123375,71.0
178,Man on the Moon,1999,7.4,58,115125,74.0
179,8MM,1999,6.5,19,114523,65.0
180,Deep Blue Sea,1999,5.8,54,113820,58.0
181,Stuart Little,1999,5.9,61,112301,59.0
182,The 13th Warrior,1999,6.6,42,109603,66.0
183,Any Given Sunday,1999,6.9,52,105556,69.0
184,Bicentennial Man,1999,6.9,42,100697,69.0
185,Entrapment,1999,6.3,54,99047,63.0
186,End of Days,1999,5.7,33,98794,57.0
187,The Cider House Rules,1999,7.4,75,87183,74.0
188,Fight Club,1999,8.8,66,1637845,88.0
189,The Matrix,1999,8.7,73,1469235,87.0
190,The Green Mile,1999,8.5,61,984611,85.0
191,American Beauty,1999,8.4,86,972401,84.0
192,The Sixth Sense,1999,8.1,64,829214,81.0
193,Star Wars: Episode I - The Phantom Menace,1999,6.5,51,640660,65.0
194,Toy Story 2,1999,7.9,88,457713,79.0
195,The Mummy,1999,7.0,48,361179,70.0
196,American Pie,1999,7.0,58,347217,70.0
197,Sleepy Hollow,1999,7.4,65,301658,74.0
198,Being John Malkovich,1999,7.8,90,285177,78.0
199,Eyes Wide Shut,1999,7.4,68,267429,74.0
200,Magnolia,1999,8.0,77,266601,80.0
201,10 Things I Hate About You,1999,7.3,70,263771,73.0
202,Notting Hill,1999,7.1,66,239699,71.0
203,Office Space,1999,7.8,68,223410,78.0
204,The Boondock Saints,1999,7.8,44,214998,78.0
205,The Blair Witch Project,1999,6.4,81,213704,64.0
206,Austin Powers: The Spy Who Shagged Me,1999,6.6,59,200898,66.0
207,Dogma,1999,7.3,62,196355,73.0
208,Big Daddy,1999,6.4,41,182201,64.0
209,"South Park: Bigger, Longer & Uncut",1999,7.8,73,179759,78.0
210,Tarzan,1999,7.3,79,176791,73.0
211,The World Is Not Enough,1999,6.4,57,173661,64.0
212,Cruel Intentions,1999,6.8,56,165842,68.0
213,The Talented Mr. Ripley,1999,7.4,76,158802,74.0
214,The Iron Giant,1999,8.0,85,153798,80.0
215,The Ninth Gate,1999,6.7,44,152073,67.0
216,Three Kings,1999,7.1,82,151109,71.0
217,The Insider,1999,7.9,84,147833,79.0
218,"Girl, Interrupted",1999,7.4,51,144559,74.0
219,Wild Wild West,1999,4.9,38,142825,49.0
220,The Bone Collector,1999,6.7,45,139181,67.0
221,Galaxy Quest,1999,7.3,70,136410,73.0
222,Analyze This,1999,6.7,61,136390,67.0
223,The Virgin Suicides,1999,7.2,76,132424,72.0
224,Payback,1999,7.1,46,123375,71.0
225,Man on the Moon,1999,7.4,58,115125,74.0
226,8MM,1999,6.5,19,114523,65.0
227,Deep Blue Sea,1999,5.8,54,113820,58.0
228,Stuart Little,1999,5.9,61,112301,59.0
229,The 13th Warrior,1999,6.6,42,109603,66.0
230,Any Given Sunday,1999,6.9,52,105556,69.0
231,Bicentennial Man,1999,6.9,42,100697,69.0
